Product ID Number,Product Name,Product Type,Unit Price,Date of Manufacturing,Date of Acquisition
1,Honda CBR500R,Sport,389000,2021,2023
2,Yamaha MT-15,Naked Bike,178000,2022,2023
3,Kawasaki Ninja 400,Sport,340000,2023,2024
4,Suzuki Raider R150 Fi,Underbone,119900,2020,2021
5,Royal Enfield Classic 350,Classic,250000,2022,2023
6,CFMoto 300NK,Naked Bike,165000,2021,2022
7,Bristol Veloce 500,Cafe Racer,328000,2022,2023
8,KTM Duke 200,Naked Bike,178000,2023,2024
9,Yamaha XSR155,Retro,182000,2022,2023
10,Bajaj Dominar 400,Sport Touring,199900,2021,2022
11,Yamaha NMAX 155,Scooter,151900,2022,2023
12,Honda ADV 160,Scooter,164900,2023,2024
13,Suzuki Avenis 125,Scooter,79900,2023,2024
14,KTM RC 200,Sport,198000,2021,2022
15,BMW G 310 GS,Adventure,320000,2023,2024
16,TVS Apache RTR 200 4V,Naked Bike,129000,2022,2023
17,Husqvarna Svartpilen 401,Scrambler,295000,2023,2024
18,Vespa Primavera 150,Scooter,210000,2022,2023
19,Suzuki GSX-S150,Naked Bike,125000,2021,2022
20,Kawasaki Z400,Naked Bike,331000,2023,2024
21,Yamaha Aerox 155,Scooter,124000,2022,2023
22,Bristol Bobber 650,Cruiser,398000,2022,2023
23,Keeway RKS 150 Sport,Standard,68900,2021,2022
24,Motorstar Xplorer 250R,Adventure,78900,2020,2021
25,CFMoto 650MT,Touring,345000,2023,2024
26,Honda Click 125i,Scooter,80900,2022,2023
27,Yamaha Sniper 155,Underbone,125900,2023,2024
28,Bajaj CT125,Commuter,67900,2021,2022
29,Honda CRF300L,Dual-Sport,284900,2023,2024
30,Rusi Flash 125,Commuter,48000,2020,2021
31,SYM Jet X 150,Scooter,128000,2022,2023
32,Harley-Davidson Street 750,Cruiser,499000,2020,2021
33,Zontes 310X,Adventure,248000,2023,2024
34,Aprilia SR GT 200,Scooter,219000,2023,2024
35,Yamaha XMAX 300,Scooter,319000,2022,2023
36,Benelli 502C,Cruiser,349000,2022,2023
37,Moto Morini X-Cape 650,Adventure,369000,2023,2024
38,Yamaha FZi 150,Street,99900,2021,2022
39,Vespa GTS Super 300,Scooter,398000,2023,2024
40,Kawasaki KLX 230,Dual-Sport,199000,2022,2023
41,BMW R nineT,Heritage,995000,2023,2024
42,Honda Rebel 1100,Cruiser,650000,2023,2024
43,KTM 790 Duke,Naked Bike,599000,2023,2024
44,CFMoto 300SR,Sport,165000,2023,2024
45,Italjet Dragster 200,Scooter,289000,2023,2024
46,Yamaha Serow 250,Dual-Sport,299000,2020,2021
47,Suzuki Burgman Street 125,Scooter,80900,2023,2024
48,Zontes GK350,Cafe Racer,269000,2023,2024
49,Moto Guzzi V7 Stone,Heritage,689000,2022,2023
50,SYM Husky 150,Underbone,72900,2022,2023
